MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,MWUG42010324,,,,MWUG42010324,MWUG42010324,UTW Pro Heated Glove Blk MD,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG42010324,,,"Tech Gear 5.7 Inc, Light Bulb, MWUG42010324",LIGHT BULB,"Tech Gear 5.7 Inc, MWUG42010324, Light Bulb",Tech Gear 5.7 Inc Light Bulb,"Tech Gear 5.7 Inc, Light Bulb",,,,,,,,,,,,,,,,,,,,,,,,,,,Light Bulb,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,MWUG42010424,,,,MWUG42010424,MWUG42010424,UTW Pro Heated Glove Blk LG,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG42010424,,,"Tech Gear 5.7 Inc, Light Bulb, MWUG42010424",LIGHT BULB,"Tech Gear 5.7 Inc, MWUG42010424, Light Bulb",Tech Gear 5.7 Inc Light Bulb,"Tech Gear 5.7 Inc, Light Bulb",,,,,,,,,,,,,,,,,,,,,,,,,,,Light Bulb,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,MWUG42010524,,,,MWUG42010524,MWUG42010524,UTW Pro Heated Glove Blk XL,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG42010524,,,"Tech Gear 5.7 Inc, Light Bulb, MWUG42010524",LIGHT BULB,"Tech Gear 5.7 Inc, MWUG42010524, Light Bulb",Tech Gear 5.7 Inc Light Bulb,"Tech Gear 5.7 Inc, Light Bulb",,,,,,,,,,,,,,,,,,,,,,,,,,,Light Bulb,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,MWUG42010624,,,,MWUG42010624,MWUG42010624,UTW Pro Heated Glove Blk 2X,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG42010624,,,"Tech Gear 5.7 Inc, Light Bulb, MWUG42010624",LIGHT BULB,"Tech Gear 5.7 Inc, MWUG42010624, Light Bulb",Tech Gear 5.7 Inc Light Bulb,"Tech Gear 5.7 Inc, Light Bulb",,,,,,,,,,,,,,,,,,,,,,,,,,,Light Bulb,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,MWUG36010225,,,,MWUG36010225,MWUG36010225,MWUG36010225 BLK SM Aerial Snow Heated Glove,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG36010225,,,"Tech Gear 5.7 Inc, Heated Glove, MWUG36010225",HEATED GLOVE,"Tech Gear 5.7 Inc, MWUG36010225, Heated Glove",Tech Gear 5.7 Inc Heated Glove,"Tech Gear 5.7 Inc, Heated Glove",,,,,,,,,,,,,,,,,,,,,,,,,,,Heated Glove,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,BLK,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,category,General Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,MWUG36010325,,,,MWUG36010325,MWUG36010325,MWUG36010325 BLK MD Aerial Snow Heated Glove,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG36010325,,,"Tech Gear 5.7 Inc, Commercial Product, MWUG36010325",COMMERCIAL PRODUCT,"Tech Gear 5.7 Inc, MWUG36010325, Commercial Product",Tech Gear 5.7 Inc Commercial Product,"Tech Gear 5.7 Inc, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tech Gear 5.7 Inc, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,description,BLK MD Aerial Snow Heated Glove,,supplier,Tech Gear 5.7 Inc,,category,General Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,MWUG36010425,,,,MWUG36010425,MWUG36010425,MWUG36010425 BLK LG Aerial Snow Heated Glove,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG36010425,,,"Tech Gear 5.7 Inc, Commercial Product, MWUG36010425",COMMERCIAL PRODUCT,"Tech Gear 5.7 Inc, MWUG36010425, Commercial Product",Tech Gear 5.7 Inc Commercial Product,"Tech Gear 5.7 Inc, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tech Gear 5.7 Inc, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,MWUG36010525,,,,MWUG36010525,MWUG36010525,MWUG36010525 BLK XL Aerial Snow Heated Glove,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG36010525,,,"Tech Gear 5.7 Inc, Light Bulb, MWUG36010525",LIGHT BULB,"Tech Gear 5.7 Inc, MWUG36010525, Light Bulb",Tech Gear 5.7 Inc Light Bulb,"Tech Gear 5.7 Inc, Light Bulb",,,,,,,,,,,,,,,,,,,,,,,,,,,Light Bulb,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
,,,,,,MWUG36010625,,,,MWUG36010625,MWUG36010625,MWUG36010625 BLK 2X Aerial Snow Heated Glove,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Tech Gear 5.7 Inc (TECGE),Tech Gear 5.7 Inc,Tech Gear 5.7 Inc,,MWUG36010625,,,"Tech Gear 5.7 Inc, Heated Glove, MWUG36010625",HEATED GLOVE,"Tech Gear 5.7 Inc, MWUG36010625, Heated Glove",Tech Gear 5.7 Inc Heated Glove,"Tech Gear 5.7 Inc, Heated Glove",,,,,,,,,,,,,,,,,,,,,,,,,,,Heated Glove,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,2X,,Mounting Type,,,Material,,,Color,BLK,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,description,Aerial Snow Heated Glove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.dewalt.com/product/DPG15,,,,,,DPG15,,,,DPG15,DPG15,DPG15 Dewalt AM/FM Hearing Protector,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Radians (7363),Stanley Black & Decker,DEWALT®,,DPG15,,,"DEWALT®, Hearing Protector, DPG15",HEARING PROTECTOR,"DEWALT®, DPG15, Hearing Protector",DEWALT® Hearing Protector,"DEWALT®, Hearing Protector",,,,,,,,,,,,,,,,,,,,,,,,,,,Hearing Protector,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/F200B-21L,,,,,,F200B-21L,,,,F200B-21L,F200B-21L,F200B-21L Milw M12 Womens - BLK Heated Hoodie Kit L,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,F200B-21L,,,"MILWAUKEE®, Commercial Product, F200B-21L",COMMERCIAL PRODUCT,"MILWAUKEE®, F200B-21L, Commercial Product",MILWAUKEE® Commercial Product,"MILWAUKEE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"MILWAUKEE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/F200B-21M,,,,,,F200B-21M,,,,F200B-21M,F200B-21M,F200B-21M Milw M12 Womens - BLK Heated Hoodie Kit M,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,F200B-21M,,,"MILWAUKEE®, Commercial Product, F200B-21M",COMMERCIAL PRODUCT,"MILWAUKEE®, F200B-21M, Commercial Product",MILWAUKEE® Commercial Product,"MILWAUKEE®, Commercial Product",,,,,,,,,,,,,,,,,,,,,,,,,,,"MILWAUKEE®, Commercial Product",Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/M200B-21L,,,,,,M200B-21L,,,,M200B-21L,M200B-21L,M200B-21L Milw M12 BLK - Heated Hoodie Kit L,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,M200B-21L,,,"MILWAUKEE®, Heated Hoodie Kit, M200B-21L",HEATED HOODIE KIT,"MILWAUKEE®, M200B-21L, Heated Hoodie Kit",MILWAUKEE® Heated Hoodie Kit,"MILWAUKEE®, Heated Hoodie Kit",,,,,,,,,,,,,,,,,,,,,,,,,,,Heated Hoodie Kit,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/M200B-21M,,,,,,M200B-21M,,,,M200B-21M,M200B-21M,M200B-21M Milw M12 BLK - Heated Hoodie Kit M,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,M200B-21M,,,"MILWAUKEE®, Heated Hoodie Kit, M200B-21M",HEATED HOODIE KIT,"MILWAUKEE®, M200B-21M, Heated Hoodie Kit",MILWAUKEE® Heated Hoodie Kit,"MILWAUKEE®, Heated Hoodie Kit",,,,,,,,,,,,,,,,,,,,,,,,,,,Heated Hoodie Kit,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/M200B-21XL,,,,,,M200B-21XL,,,,M200B-21XL,M200B-21XL,M200B-21XL Milw M12 BLK - Heated Hoodie Kit XL,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,M200B-21XL,,,"MILWAUKEE®, Heated Hoodie Kit, M200B-21XL",HEATED HOODIE KIT,"MILWAUKEE®, M200B-21XL, Heated Hoodie Kit",MILWAUKEE® Heated Hoodie Kit,"MILWAUKEE®, Heated Hoodie Kit",,,,,,,,,,,,,,,,,,,,,,,,,,,Heated Hoodie Kit,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,Manufacturer Part Number,M200B-21XL,,Supplier / Manufacturer,MILWAUKEE,,Catalog Category,General Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/M200G-21L,,,,,,M200G-21L,,,,M200G-21L,M200G-21L,M200G-21L Milw M12 Gray - Heated Hoodie Kit L,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,M200G-21L,,,"MILWAUKEE®, Heated Hoodie Kit, M200G-21L",HEATED HOODIE KIT,"MILWAUKEE®, M200G-21L, Heated Hoodie Kit",MILWAUKEE® Heated Hoodie Kit,"MILWAUKEE®, Heated Hoodie Kit",,,,,,,,,,,,,,,,,,,,,,,,,,,Heated Hoodie Kit,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/M200G-21M,,,,,,M200G-21M,,,,M200G-21M,M200G-21M,M200G-21M Milw M12 Gray - Heated Hoodie Kit M,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,M200G-21M,,,"MILWAUKEE®, Heated Hoodie Kit, M200G-21M",HEATED HOODIE KIT,"MILWAUKEE®, M200G-21M, Heated Hoodie Kit",MILWAUKEE® Heated Hoodie Kit,"MILWAUKEE®, Heated Hoodie Kit",,,,,,,,,,,,,,,,,,,,,,,,,,,Heated Hoodie Kit,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/M200G-21XL,,,,,,M200G-21XL,,,,M200G-21XL,M200G-21XL,M200G-21XL Milw M12 Gray - Heated Hoodie Kit XL,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,M200G-21XL,,,"MILWAUKEE®, Heated Hoodie Kit, M200G-21XL",HEATED HOODIE KIT,"MILWAUKEE®, M200G-21XL, Heated Hoodie Kit",MILWAUKEE® Heated Hoodie Kit,"MILWAUKEE®, Heated Hoodie Kit",,,,,,,,,,,,,,,,,,,,,,,,,,,Heated Hoodie Kit,Series,,,Model,,,Item Type,,,Voltage Rating,,,Amperage Rating,,,Dimensions,,,Mounting Type,,,Material,,,Color,,,Sound Level,,,Additional Information,,,,,,,,,,,,,,,Manufacturer Part Number,M200G-21XL,,Supplier / Manufacturer,MILWAUKEE,,Catalog Category,General Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
